Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    22 ," 1,720 "," 1,870 "," 3,590 "," 1,870 "," 1,980 "," 3,850 "," 2,040 "," 2,090 "," 4,130 "," 2,210 "," 2,200 "," 4,410 "," 2,390 "," 2,320 "," 4,710 "," 2,550 "," 2,420 "," 4,970 "
    23 ," 1,420 "," 1,430 "," 2,850 "," 1,450 "," 1,550 "," 3,000 "," 1,600 "," 1,670 "," 3,270 "," 1,660 "," 1,690 "," 3,350 "," 1,840 "," 1,810 "," 3,650 "," 2,020 "," 1,950 "," 3,970 "
    24 ," 1,990 "," 2,170 "," 4,160 "," 2,100 "," 2,190 "," 4,290 "," 2,230 "," 2,300 "," 4,530 "," 2,390 "," 2,410 "," 4,800 "," 2,590 "," 2,540 "," 5,130 "," 2,790 "," 2,770 "," 5,560 "
    25 ," 1,230 "," 1,260 "," 2,490 "," 1,320 "," 1,370 "," 2,690 "," 1,330 "," 1,370 "," 2,700 "," 1,450 "," 1,470 "," 2,920 "," 1,500 "," 1,480 "," 2,980 "," 1,650 "," 1,610 "," 3,260 "
    26 ," 1,430 "," 1,570 "," 3,000 "," 1,540 "," 1,690 "," 3,230 "," 1,550 "," 1,800 "," 3,350 "," 1,670 "," 1,810 "," 3,480 "," 1,710 "," 1,940 "," 3,650 "," 1,870 "," 2,070 "," 3,940 "
    27 ," 1,140 "," 1,200 "," 2,340 "," 1,150 "," 1,330 "," 2,480 "," 1,250 "," 1,330 "," 2,580 "," 1,350 "," 1,440 "," 2,790 "," 1,370 "," 1,450 "," 2,820 "," 1,500 "," 1,580 "," 3,080 "
    28 ," 1,080 "," 1,190 "," 2,270 "," 1,170 "," 1,310 "," 2,480 "," 1,180 "," 1,320 "," 2,500 "," 1,260 "," 1,410 "," 2,670 "," 1,360 "," 1,500 "," 2,860 "," 1,370 "," 1,520 "," 2,890 "
    29 ," 1,190 "," 1,190 "," 2,380 "," 1,200 "," 1,230 "," 2,430 "," 1,330 "," 1,370 "," 2,700 "," 1,340 "," 1,380 "," 2,720 "," 1,360 "," 1,510 "," 2,870 "," 1,480 "," 1,530 "," 3,010 "
    30 , 950 , 990 ," 1,940 ", 960 ," 1,090 "," 2,050 "," 1,040 "," 1,110 "," 2,150 "," 1,120 "," 1,200 "," 2,320 "," 1,140 "," 1,220 "," 2,360 "," 1,220 "," 1,310 "," 2,530 "
    31 ," 1,070 "," 1,210 "," 2,280 "," 1,210 "," 1,250 "," 2,460 "," 1,220 "," 1,290 "," 2,510 "," 1,360 "," 1,460 "," 2,820 "," 1,380 "," 1,480 "," 2,860 "," 1,390 "," 1,650 "," 3,040 "
    32 , 970 ," 1,020 "," 1,990 ", 970 ," 1,050 "," 2,020 "," 1,070 "," 1,080 "," 2,150 "," 1,080 "," 1,200 "," 2,280 "," 1,180 "," 1,230 "," 2,410 "," 1,190 "," 1,360 "," 2,550 "
    33 , 910 , 880 ," 1,790 "," 1,060 ", 900 ," 1,960 "," 1,070 ", 920 ," 1,990 "," 1,070 "," 1,100 "," 2,170 "," 1,250 "," 1,130 "," 2,380 "," 1,250 "," 1,170 "," 2,420 "
    34 ," 1,090 "," 1,090 "," 2,180 "," 1,180 "," 1,110 "," 2,290 "," 1,190 "," 1,220 "," 2,410 "," 1,300 "," 1,250 "," 2,550 "," 1,310 "," 1,390 "," 2,700 "," 1,420 "," 1,440 "," 2,860 "
    35 , 630 , 650 ," 1,280 ", 630 , 670 ," 1,300 ", 700 , 750 ," 1,450 ", 700 , 760 ," 1,460 ", 720 , 780 ," 1,500 ", 800 , 900 ," 1,700 "
    36 , 950 ," 1,040 "," 1,990 ", 950 ," 1,050 "," 2,000 "," 1,060 "," 1,060 "," 2,120 "," 1,060 "," 1,180 "," 2,240 "," 1,080 "," 1,200 "," 2,280 "," 1,200 "," 1,360 "," 2,560 "
