Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    72 , 430 , 510 , 940 , 410 , 490 , 900 , 400 , 480 , 880 , 390 , 480 , 870 , 390 , 480 , 870 , 380 , 480 , 860 
    73 , 310 , 350 , 660 , 300 , 340 , 640 , 290 , 330 , 620 , 290 , 330 , 620 , 290 , 450 , 740 , 290 , 440 , 730 
    74 , 320 , 340 , 660 , 310 , 330 , 640 , 300 , 330 , 630 , 300 , 330 , 630 , 300 , 330 , 630 , 300 , 320 , 620 
    75 , 210 , 210 , 420 , 200 , 200 , 400 , 190 , 240 , 430 , 190 , 240 , 430 , 200 , 250 , 450 , 190 , 240 , 430 
    76 , 350 , 420 , 770 , 330 , 400 , 730 , 290 , 370 , 660 , 300 , 520 , 820 , 300 , 510 , 810 , 290 , 500 , 790 
    77 , 370 , 500 , 870 , 350 , 470 , 820 , 330 , 450 , 780 , 320 , 430 , 750 , 330 , 440 , 770 , 320 , 430 , 750 
    78 , 300 , 470 , 770 , 280 , 440 , 720 , 270 , 410 , 680 , 270 , 400 , 670 , 260 , 380 , 640 , 250 , 370 , 620 
    79 , 360 , 420 , 780 , 340 , 390 , 730 , 320 , 370 , 690 , 310 , 370 , 680 , 310 , 360 , 670 , 290 , 340 , 630 
 80+ ," 1,670 "," 1,400 "," 3,070 "," 1,400 "," 1,800 "," 3,200 "," 1,190 "," 2,280 "," 3,470 "," 1,490 "," 1,630 "," 3,120 ", 800 ," 1,140 "," 1,940 "," 1,250 "," 1,010 "," 2,260 "
," 185,900 "," 192,200 "," 378,100 "," 191,700 "," 197,800 "," 389,500 "," 197,900 "," 203,700 "," 401,600 "," 204,100 "," 209,700 "," 413,800 "," 210,500 "," 215,800 "," 426,300 "," 217,000 "," 222,000 "," 439,000 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
