Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    32 ," 4,250 "," 5,330 "," 9,580 "," 4,360 "," 5,640 "," 10,000 "," 4,490 "," 5,890 "," 10,380 "," 4,700 "," 6,240 "," 10,940 "," 4,830 "," 6,510 "," 11,340 "," 4,960 "," 6,810 "," 11,770 "
    33 ," 3,750 "," 4,530 "," 8,280 "," 3,900 "," 4,710 "," 8,610 "," 4,080 "," 4,860 "," 8,940 "," 4,110 "," 5,140 "," 9,250 "," 4,320 "," 5,430 "," 9,750 "," 4,500 "," 5,720 "," 10,220 "
    34 ," 3,280 "," 3,900 "," 7,180 "," 3,360 "," 4,030 "," 7,390 "," 3,500 "," 4,200 "," 7,700 "," 3,610 "," 4,390 "," 8,000 "," 3,740 "," 4,620 "," 8,360 "," 3,860 "," 4,960 "," 8,820 "
    35 ," 3,550 "," 4,480 "," 8,030 "," 3,620 "," 4,600 "," 8,220 "," 3,720 "," 4,800 "," 8,520 "," 3,880 "," 4,960 "," 8,840 "," 3,980 "," 5,240 "," 9,220 "," 4,100 "," 5,480 "," 9,580 "
    36 ," 3,290 "," 4,060 "," 7,350 "," 3,400 "," 4,190 "," 7,590 "," 3,530 "," 4,350 "," 7,880 "," 3,660 "," 4,490 "," 8,150 "," 3,810 "," 4,700 "," 8,510 "," 3,830 "," 4,920 "," 8,750 "
    37 ," 3,000 "," 3,820 "," 6,820 "," 3,130 "," 3,960 "," 7,090 "," 3,250 "," 4,010 "," 7,260 "," 3,240 "," 4,150 "," 7,390 "," 3,400 "," 4,310 "," 7,710 "," 3,520 "," 4,500 "," 8,020 "
    38 ," 3,200 "," 4,330 "," 7,530 "," 3,280 "," 4,460 "," 7,740 "," 3,380 "," 4,610 "," 7,990 "," 3,480 "," 4,730 "," 8,210 "," 3,590 "," 4,960 "," 8,550 "," 3,710 "," 5,100 "," 8,810 "
    39 ," 2,960 "," 3,500 "," 6,460 "," 3,040 "," 3,650 "," 6,690 "," 3,160 "," 3,800 "," 6,960 "," 3,270 "," 3,840 "," 7,110 "," 3,300 "," 3,990 "," 7,290 "," 3,420 "," 4,140 "," 7,560 "
    40 ," 2,520 "," 3,520 "," 6,040 "," 2,560 "," 3,630 "," 6,190 "," 2,640 "," 3,750 "," 6,390 "," 2,690 "," 3,920 "," 6,610 "," 2,830 "," 4,050 "," 6,880 "," 2,900 "," 4,200 "," 7,100 "
    41 ," 2,820 "," 2,810 "," 5,630 "," 2,800 "," 2,990 "," 5,790 "," 2,920 "," 3,050 "," 5,970 "," 2,920 "," 3,230 "," 6,150 "," 3,070 "," 3,270 "," 6,340 "," 3,180 "," 3,440 "," 6,620 "
    42 ," 2,910 "," 3,490 "," 6,400 "," 2,980 "," 3,630 "," 6,610 "," 3,060 "," 3,780 "," 6,840 "," 3,130 "," 3,950 "," 7,080 "," 3,240 "," 4,120 "," 7,360 "," 3,320 "," 4,250 "," 7,570 "
    43 ," 2,410 "," 2,720 "," 5,130 "," 2,520 "," 2,890 "," 5,410 "," 2,510 "," 2,930 "," 5,440 "," 2,600 "," 3,110 "," 5,710 "," 2,610 "," 3,170 "," 5,780 "," 2,720 "," 3,340 "," 6,060 "
    44 ," 2,140 "," 2,500 "," 4,640 "," 2,140 "," 2,620 "," 4,760 "," 2,270 "," 2,670 "," 4,940 "," 2,260 "," 2,810 "," 5,070 "," 2,360 "," 2,970 "," 5,330 "," 2,360 "," 3,020 "," 5,380 "
    45 ," 2,540 "," 3,230 "," 5,770 "," 2,610 "," 3,320 "," 5,930 "," 2,690 "," 3,440 "," 6,130 "," 2,770 "," 3,550 "," 6,320 "," 2,840 "," 3,690 "," 6,530 "," 2,920 "," 3,830 "," 6,750 "
    46 ," 2,270 "," 2,580 "," 4,850 "," 2,380 "," 2,710 "," 5,090 "," 2,380 "," 2,740 "," 5,120 "," 2,520 "," 2,880 "," 5,400 "," 2,520 "," 2,890 "," 5,410 "," 2,630 "," 3,070 "," 5,700 "
    47 ," 2,140 "," 2,650 "," 4,790 "," 2,140 "," 2,800 "," 4,940 "," 2,270 "," 2,810 "," 5,080 "," 2,280 "," 2,970 "," 5,250 "," 2,420 "," 3,000 "," 5,420 "," 2,410 "," 3,190 "," 5,600 "
