Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1986","1986","1000 US$","1200","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1987","1987","1000 US$","8800","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1988","1988","1000 US$","5700","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1989","1989","1000 US$","4600","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1990","1990","1000 US$","6500","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1991","1991","1000 US$","7000","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1992","1992","1000 US$","6000","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1993","1993","1000 US$","6000","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1994","1994","1000 US$","6000","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1995","1995","1000 US$","4000","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1996","1996","1000 US$","1366","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1997","1997","1000 US$","2000","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1998","1998","1000 US$","2924","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1999","1999","1000 US$","1360","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","2000","2000","1000 US$","1884","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","2001","2001","1000 US$","1305","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","2002","2002","1000 US$","2737","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","2003","2003","1000 US$","1169","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","2004","2004","1000 US$","5780","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","2005","2005","1000 US$","3021","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","2006","2006","1000 US$","4676","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","2007","2007","1000 US$","3956","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1961","1961","No","4","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1962","1962","No","2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1963","1963","No","1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1964","1964","No","10","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1965","1965","No","4","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1966","1966","No","3","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1967","1967","No","5","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1968","1968","No","5","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1969","1969","No","2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1970","1970","No","14","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1971","1971","No","26","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5907","Export Quantity","2455009","Agricultural tractors, total","1972","1972","No","6","W","Data reported on country official publications or web sites (Official) or trade country files"
